"injected_interstitials_i","source_i","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
3.4543e-21,3.4521e-19,1,122.5,122.5,0,0
3.6099e-21,3.5788e-19,1,125,125,0,0
3.856e-21,3.7772e-19,1,127.5,127.5,0,0
4.029e-21,3.9152e-19,1,130,130,0,0
4.3026e-21,4.1313e-19,1,132.5,132.5,0,0
4.4949e-21,4.2815e-19,1,135,135,0,0
4.7991e-21,4.5167e-19,1,137.5,137.5,0,0
5.0128e-21,4.6802e-19,1,140,140,0,0
5.3507e-21,4.9361e-19,1,142.5,142.5,0,0
5.5881e-21,5.114e-19,1,145,145,0,0
5.9633e-21,5.3924e-19,1,147.5,147.5,0,0
6.2269e-21,5.5858e-19,1,150,150,0,0
6.6434e-21,5.8884e-19,1,152.5,152.5,0,0
6.9359e-21,6.0987e-19,1,155,155,0,0
7.3981e-21,6.4275e-19,1,157.5,157.5,0,0
7.7226e-21,6.6559e-19,1,160,160,0,0
8.2352e-21,7.0131e-19,1,162.5,162.5,0,0
8.5951e-21,7.2612e-19,1,165,165,0,0
9.1635e-21,7.6491e-19,1,167.5,167.5,0,0
9.5623e-21,7.9184e-19,1,170,170,0,0
1.0192e-20,8.3393e-19,1,172.5,172.5,0,0
1.0634e-20,8.6316e-19,1,175,175,0,0
1.1332e-20,9.0882e-19,1,177.5,177.5,0,0
1.1821e-20,9.4053e-19,1,180,180,0,0
1.2594e-20,9.9005e-19,1,182.5,182.5,0,0
1.3136e-20,1.0244e-18,1,185,185,0,0
1.3991e-20,1.0781e-18,1,187.5,187.5,0,0
1.4591e-20,1.1153e-18,1,190,190,0,0
1.5537e-20,1.1735e-18,1,192.5,192.5,0,0
1.62e-20,1.2139e-18,1,195,195,0,0
1.7247e-20,1.2768e-18,1,197.5,197.5,0,0
1.798e-20,1.3205e-18,1,200,200,0,0
1.9137e-20,1.3887e-18,1,202.5,202.5,0,0
1.9948e-20,1.436e-18,1,205,205,0,0
2.1226e-20,1.5098e-18,1,207.5,207.5,0,0
2.2122e-20,1.561e-18,1,210,210,0,0
2.3533e-20,1.6408e-18,1,212.5,212.5,0,0
2.4522e-20,1.6962e-18,1,215,215,0,0
2.6081e-20,1.7825e-18,1,217.5,217.5,0,0
2.7173e-20,1.8423e-18,1,220,220,0,0
2.8894e-20,1.9356e-18,1,222.5,222.5,0,0
3.0098e-20,2.0002e-18,1,225,225,0,0
3.1996e-20,2.101e-18,1,227.5,227.5,0,0
3.3325e-20,2.1708e-18,1,230,230,0,0
3.5418e-20,2.2796e-18,1,232.5,232.5,0,0
3.6883e-20,2.355e-18,1,235,235,0,0
3.919e-20,2.4724e-18,1,237.5,237.5,0,0
4.0804e-20,2.5538e-18,1,240,240,0,0
4.3346e-20,2.6805e-18,1,242.5,242.5,0,0
4.5125e-20,2.7682e-18,1,245,245,0,0
4.7924e-20,2.9049e-18,1,247.5,247.5,0,0
4.9882e-20,2.9995e-18,1,250,250,0,0
5.2964e-20,3.1468e-18,1,252.5,252.5,0,0
5.512e-20,3.2488e-18,1,255,255,0,0
5.8511e-20,3.4076e-18,1,257.5,257.5,0,0
6.0883e-20,3.5174e-18,1,260,260,0,0
6.4613e-20,3.6884e-18,1,262.5,262.5,0,0
6.7221e-20,3.8067e-18,1,265,265,0,0
7.1323e-20,3.9908e-18,1,267.5,267.5,0,0
7.419e-20,4.1181e-18,1,270,270,0,0
7.8698e-20,4.3163e-18,1,272.5,272.5,0,0
8.1848e-20,4.4533e-18,1,275,275,0,0
8.6801e-20,4.6664e-18,1,277.5,277.5,0,0
9.0261e-20,4.8138e-18,1,280,280,0,0
9.57e-20,5.043e-18,1,282.5,282.5,0,0
9.9499e-20,5.2014e-18,1,285,285,0,0
1.0547e-19,5.4477e-18,1,287.5,287.5,0,0
1.0964e-19,5.6179e-18,1,290,290,0,0
1.1619e-19,5.8826e-18,1,292.5,292.5,0,0
1.2076e-19,6.0654e-18,1,295,295,0,0
1.2795e-19,6.3496e-18,1,297.5,297.5,0,0
1.3296e-19,6.5459e-18,1,300,300,0,0
1.4084e-19,6.851e-18,1,302.5,302.5,0,0
1.4634e-19,7.0617e-18,1,305,305,0,0
1.5497e-19,7.389e-18,1,307.5,307.5,0,0
1.6099e-19,7.615e-18,1,310,310,0,0
1.7045e-19,7.9661e-18,1,312.5,312.5,0,0
1.7704e-19,8.2084e-18,1,315,315,0,0
1.874e-19,8.5848e-18,1,317.5,317.5,0,0
1.9462e-19,8.8445e-18,1,320,320,0,0
2.0595e-19,9.2479e-18,1,322.5,322.5,0,0
2.1385e-19,9.5262e-18,1,325,325,0,0
2.2625e-19,9.9582e-18,1,327.5,327.5,0,0
2.3489e-19,1.0256e-17,1,330,330,0,0
2.4844e-19,1.0719e-17,1,332.5,332.5,0,0
2.5789e-19,1.1038e-17,1,335,335,0,0
2.7271e-19,1.1533e-17,1,337.5,337.5,0,0
2.8304e-19,1.1874e-17,1,340,340,0,0
2.9923e-19,1.2404e-17,1,342.5,342.5,0,0
3.1051e-19,1.2769e-17,1,345,345,0,0
3.282e-19,1.3335e-17,1,347.5,347.5,0,0
3.4052e-19,1.3725e-17,1,350,350,0,0
3.5983e-19,1.4331e-17,1,352.5,352.5,0,0
3.7327e-19,1.4748e-17,1,355,355,0,0
3.9434e-19,1.5394e-17,1,357.5,357.5,0,0
4.0901e-19,1.584e-17,1,360,360,0,0
4.32e-19,1.653e-17,1,362.5,362.5,0,0
4.48e-19,1.7006e-17,1,365,365,0,0
4.7306e-19,1.7743e-17,1,367.5,367.5,0,0
4.905e-19,1.8251e-17,1,370,370,0,0
5.1781e-19,1.9037e-17,1,372.5,372.5,0,0
5.3682e-19,1.9579e-17,1,375,375,0,0
5.6658e-19,2.0417e-17,1,377.5,377.5,0,0
5.8728e-19,2.0995e-17,1,380,380,0,0
6.1969e-19,2.1889e-17,1,382.5,382.5,0,0
6.4223e-19,2.2505e-17,1,385,385,0,0
6.7751e-19,2.3458e-17,1,387.5,387.5,0,0
7.0204e-19,2.4113e-17,1,390,390,0,0
7.4042e-19,2.5128e-17,1,392.5,392.5,0,0
7.6711e-19,2.5826e-17,1,395,395,0,0
8.0885e-19,2.6907e-17,1,397.5,397.5,0,0
8.3787e-19,2.765e-17,1,400,400,0,0
8.8326e-19,2.88e-17,1,402.5,402.5,0,0
9.148e-19,2.9591e-17,1,405,405,0,0
9.6412e-19,3.0815e-17,1,407.5,407.5,0,0
9.9839e-19,3.1656e-17,1,410,410,0,0
1.052e-18,3.2957e-17,1,412.5,412.5,0,0
1.0892e-18,3.3851e-17,1,415,415,0,0
1.1474e-18,3.5233e-17,1,417.5,417.5,0,0
1.1878e-18,3.6183e-17,1,420,420,0,0
1.2509e-18,3.7652e-17,1,422.5,422.5,0,0
1.2947e-18,3.8661e-17,1,425,425,0,0
1.3632e-18,4.0221e-17,1,427.5,427.5,0,0
1.4108e-18,4.1292e-17,1,430,430,0,0
1.4851e-18,4.2948e-17,1,432.5,432.5,0,0
1.5366e-18,4.4085e-17,1,435,435,0,0
1.6171e-18,4.5842e-17,1,437.5,437.5,0,0
1.673e-18,4.7048e-17,1,440,440,0,0
1.7603e-18,4.891e-17,1,442.5,442.5,0,0
1.8208e-18,5.0189e-17,1,445,445,0,0
1.9153e-18,5.2164e-17,1,447.5,447.5,0,0
1.9808e-18,5.3519e-17,1,450,450,0,0
2.0831e-18,5.5612e-17,1,452.5,452.5,0,0
2.154e-18,5.7047e-17,1,455,455,0,0
2.2647e-18,5.9263e-17,1,457.5,457.5,0,0
2.3415e-18,6.0784e-17,1,460,460,0,0
2.4612e-18,6.313e-17,1,462.5,462.5,0,0
2.5442e-18,6.4739e-17,1,465,465,0,0
2.6737e-18,6.7221e-17,1,467.5,467.5,0,0
2.7634e-18,6.8924e-17,1,470,470,0,0
2.9033e-18,7.155e-17,1,472.5,472.5,0,0
3.0003e-18,7.335e-17,1,475,475,0,0
3.1514e-18,7.6126e-17,1,477.5,477.5,0,0
3.2562e-18,7.8029e-17,1,480,480,0,0
3.4194e-18,8.0963e-17,1,482.5,482.5,0,0
3.5324e-18,8.2973e-17,1,485,485,0,0
3.7086e-18,8.6073e-17,1,487.5,487.5,0,0
3.8306e-18,8.8196e-17,1,490,490,0,0
4.0207e-18,9.1468e-17,1,492.5,492.5,0,0
4.1523e-18,9.3709e-17,1,495,495,0,0
4.3573e-18,9.7163e-17,1,497.5,497.5,0,0
4.4992e-18,9.9528e-17,1,500,500,0,0
4.7202e-18,1.0317e-16,1,502.5,502.5,0,0
4.8732e-18,1.0567e-16,1,505,505,0,0
5.1113e-18,1.0951e-16,1,507.5,507.5,0,0
5.2761e-18,1.1214e-16,1,510,510,0,0
5.5326e-18,1.1619e-16,1,512.5,512.5,0,0
5.71e-18,1.1896e-16,1,515,515,0,0
5.9862e-18,1.2322e-16,1,517.5,517.5,0,0
6.1772e-18,1.2614e-16,1,520,520,0,0
6.4744e-18,1.3063e-16,1,522.5,522.5,0,0
6.6799e-18,1.3371e-16,1,525,525,0,0
6.9996e-18,1.3843e-16,1,527.5,527.5,0,0
7.2207e-18,1.4167e-16,1,530,530,0,0
7.5644e-18,1.4664e-16,1,532.5,532.5,0,0
7.8021e-18,1.5004e-16,1,535,535,0,0
8.1716e-18,1.5527e-16,1,537.5,537.5,0,0
8.4269e-18,1.5885e-16,1,540,540,0,0
8.8239e-18,1.6435e-16,1,542.5,542.5,0,0
9.0981e-18,1.6811e-16,1,545,545,0,0
9.5244e-18,1.7388e-16,1,547.5,547.5,0,0
9.8189e-18,1.7783e-16,1,550,550,0,0
1.0276e-17,1.839e-16,1,552.5,552.5,0,0
1.0593e-17,1.8804e-16,1,555,555,0,0
1.1084e-17,1.9441e-16,1,557.5,557.5,0,0
1.1423e-17,1.9876e-16,1,560,560,0,0
1.1949e-17,2.0545e-16,1,562.5,562.5,0,0
1.2313e-17,2.1001e-16,1,565,565,0,0
1.2877e-17,2.1702e-16,1,567.5,567.5,0,0
1.3267e-17,2.218e-16,1,570,570,0,0
1.3872e-17,2.2915e-16,1,572.5,572.5,0,0
1.4289e-17,2.3417e-16,1,575,575,0,0
1.4937e-17,2.4187e-16,1,577.5,577.5,0,0
1.5384e-17,2.4712e-16,1,580,580,0,0
1.6078e-17,2.5519e-16,1,582.5,582.5,0,0
1.6557e-17,2.6069e-16,1,585,585,0,0
1.7299e-17,2.6913e-16,1,587.5,587.5,0,0
1.7811e-17,2.7489e-16,1,590,590,0,0
1.8606e-17,2.8372e-16,1,592.5,592.5,0,0
1.9153e-17,2.8974e-16,1,595,595,0,0
2.0003e-17,2.9898e-16,1,597.5,597.5,0,0
2.0588e-17,3.0528e-16,1,600,600,0,0
2.1496e-17,3.1494e-16,1,602.5,602.5,0,0
2.2121e-17,3.2153e-16,1,605,605,0,0
2.3091e-17,3.3162e-16,1,607.5,607.5,0,0
2.376e-17,3.385e-16,1,610,610,0,0
2.4795e-17,3.4904e-16,1,612.5,612.5,0,0
2.5509e-17,3.5622e-16,1,615,615,0,0
2.6615e-17,3.6723e-16,1,617.5,617.5,0,0
2.7376e-17,3.7473e-16,1,620,620,0,0
2.8556e-17,3.8621e-16,1,622.5,622.5,0,0
2.9368e-17,3.9403e-16,1,625,625,0,0
3.0626e-17,4.0601e-16,1,627.5,627.5,0,0
3.1492e-17,4.1417e-16,1,630,630,0,0
3.2834e-17,4.2666e-16,1,632.5,632.5,0,0
3.3757e-17,4.3516e-16,1,635,635,0,0
3.5186e-17,4.4818e-16,1,637.5,637.5,0,0
3.617e-17,4.5703e-16,1,640,640,0,0
3.7692e-17,4.7059e-16,1,642.5,642.5,0,0
3.874e-17,4.7981e-16,1,645,645,0,0
4.0361e-17,4.9393e-16,1,647.5,647.5,0,0
4.1476e-17,5.0353e-16,1,650,650,0,0
4.3201e-17,5.1821e-16,1,652.5,652.5,0,0
4.4387e-17,5.282e-16,1,655,655,0,0
4.6222e-17,5.4348e-16,1,657.5,657.5,0,0
4.7484e-17,5.5386e-16,1,660,660,0,0
4.9435e-17,5.6974e-16,1,662.5,662.5,0,0
5.0776e-17,5.8054e-16,1,665,665,0,0
5.285e-17,5.9704e-16,1,667.5,667.5,0,0
5.4275e-17,6.0826e-16,1,670,670,0,0
5.6478e-17,6.254e-16,1,672.5,672.5,0,0
5.7992e-17,6.3704e-16,1,675,675,0,0
6.0332e-17,6.5484e-16,1,677.5,677.5,0,0
6.1939e-17,6.6692e-16,1,680,680,0,0
6.4422e-17,6.8539e-16,1,682.5,682.5,0,0
6.6127e-17,6.9793e-16,1,685,685,0,0
6.8762e-17,7.1708e-16,1,687.5,687.5,0,0
7.0571e-17,7.3008e-16,1,690,690,0,0
7.3366e-17,7.4994e-16,1,692.5,692.5,0,0
7.5284e-17,7.6341e-16,1,695,695,0,0
7.8246e-17,7.8398e-16,1,697.5,697.5,0,0
8.0279e-17,7.9794e-16,1,700,700,0,0
8.3417e-17,8.1925e-16,1,702.5,702.5,0,0
8.5571e-17,8.337e-16,1,705,705,0,0
8.8895e-17,8.5576e-16,1,707.5,707.5,0,0
9.1175e-17,8.7072e-16,1,710,710,0,0
9.4694e-17,8.9354e-16,1,712.5,712.5,0,0
9.7108e-17,9.0901e-16,1,715,715,0,0
1.0083e-16,9.3261e-16,1,717.5,717.5,0,0
1.0339e-16,9.4861e-16,1,720,720,0,0
1.0732e-16,9.73e-16,1,722.5,722.5,0,0
1.1002e-16,9.8953e-16,1,725,725,0,0
1.1419e-16,1.0147e-15,1,727.5,727.5,0,0
1.1704e-16,1.0318e-15,1,730,730,0,0
1.2144e-16,1.0578e-15,1,732.5,732.5,0,0
1.2446e-16,1.0755e-15,1,735,735,0,0
1.2911e-16,1.1023e-15,1,737.5,737.5,0,0
1.3229e-16,1.1205e-15,1,740,740,0,0
1.372e-16,1.1482e-15,1,742.5,742.5,0,0
1.4056e-16,1.167e-15,1,745,745,0,0
1.4574e-16,1.1956e-15,1,747.5,747.5,0,0
1.4929e-16,1.2149e-15,1,750,750,0,0
1.5476e-16,1.2444e-15,1,752.5,752.5,0,0
1.585e-16,1.2643e-15,1,755,755,0,0
1.6426e-16,1.2946e-15,1,757.5,757.5,0,0
1.682e-16,1.3152e-15,1,760,760,0,0
1.7428e-16,1.3464e-15,1,762.5,762.5,0,0
1.7843e-16,1.3675e-15,1,765,765,0,0
1.8483e-16,1.3997e-15,1,767.5,767.5,0,0
1.8921e-16,1.4214e-15,1,770,770,0,0
1.9595e-16,1.4545e-15,1,772.5,772.5,0,0
2.0056e-16,1.4768e-15,1,775,775,0,0
2.0765e-16,1.5108e-15,1,777.5,777.5,0,0
2.125e-16,1.5338e-15,1,780,780,0,0
2.1996e-16,1.5687e-15,1,782.5,782.5,0,0
2.2506e-16,1.5923e-15,1,785,785,0,0
2.3291e-16,1.6281e-15,1,787.5,787.5,0,0
2.3827e-16,1.6524e-15,1,790,790,0,0
2.4652e-16,1.6892e-15,1,792.5,792.5,0,0
2.5216e-16,1.714e-15,1,795,795,0,0
2.6083e-16,1.7518e-15,1,797.5,797.5,0,0
2.6675e-16,1.7773e-15,1,800,800,0,0
2.7585e-16,1.816e-15,1,802.5,802.5,0,0
2.8207e-16,1.8421e-15,1,805,805,0,0
2.9162e-16,1.8818e-15,1,807.5,807.5,0,0
2.9815e-16,1.9086e-15,1,810,810,0,0
3.0817e-16,1.9492e-15,1,812.5,812.5,0,0
3.1502e-16,1.9766e-15,1,815,815,0,0
3.2553e-16,2.0182e-15,1,817.5,817.5,0,0
3.3271e-16,2.0463e-15,1,820,820,0,0
3.4373e-16,2.0889e-15,1,822.5,822.5,0,0
3.5125e-16,2.1176e-15,1,825,825,0,0
3.628e-16,2.1611e-15,1,827.5,827.5,0,0
3.7068e-16,2.1905e-15,1,830,830,0,0
3.8278e-16,2.235e-15,1,832.5,832.5,0,0
3.9103e-16,2.265e-15,1,835,835,0,0
4.0369e-16,2.3104e-15,1,837.5,837.5,0,0
4.1233e-16,2.341e-15,1,840,840,0,0
4.2558e-16,2.3875e-15,1,842.5,842.5,0,0
4.3462e-16,2.4187e-15,1,845,845,0,0
4.4848e-16,2.4661e-15,1,847.5,847.5,0,0
4.5792e-16,2.498e-15,1,850,850,0,0
4.7241e-16,2.5463e-15,1,852.5,852.5,0,0
4.8229e-16,2.5788e-15,1,855,855,0,0
4.9743e-16,2.628e-15,1,857.5,857.5,0,0
5.0775e-16,2.6612e-15,1,860,860,0,0
5.2356e-16,2.7113e-15,1,862.5,862.5,0,0
5.3433e-16,2.745e-15,1,865,865,0,0
5.5084e-16,2.7961e-15,1,867.5,867.5,0,0
5.6209e-16,2.8305e-15,1,870,870,0,0
5.7932e-16,2.8824e-15,1,872.5,872.5,0,0
5.9105e-16,2.9174e-15,1,875,875,0,0
6.0902e-16,2.9702e-15,1,877.5,877.5,0,0
6.2125e-16,3.0057e-15,1,880,880,0,0
6.3999e-16,3.0594e-15,1,882.5,882.5,0,0
6.5274e-16,3.0955e-15,1,885,885,0,0
6.7227e-16,3.1501e-15,1,887.5,887.5,0,0
6.8555e-16,3.1867e-15,1,890,890,0,0
7.0589e-16,3.2421e-15,1,892.5,892.5,0,0
7.1972e-16,3.2793e-15,1,895,895,0,0
7.4089e-16,3.3355e-15,1,897.5,897.5,0,0
7.5529e-16,3.3733e-15,1,900,900,0,0
7.7732e-16,3.4302e-15,1,902.5,902.5,0,0
7.923e-16,3.4685e-15,1,905,905,0,0
8.1522e-16,3.5262e-15,1,907.5,907.5,0,0
8.3079e-16,3.565e-15,1,910,910,0,0
8.5462e-16,3.6235e-15,1,912.5,912.5,0,0
8.7081e-16,3.6627e-15,1,915,915,0,0
8.9556e-16,3.7219e-15,1,917.5,917.5,0,0
9.1238e-16,3.7616e-15,1,920,920,0,0
9.381e-16,3.8215e-15,1,922.5,922.5,0,0
9.5556e-16,3.8616e-15,1,925,925,0,0
9.8226e-16,3.9221e-15,1,927.5,927.5,0,0
1.0004e-15,3.9627e-15,1,930,930,0,0
1.0281e-15,4.0238e-15,1,932.5,932.5,0,0
1.0469e-15,4.0648e-15,1,935,935,0,0
1.0756e-15,4.1265e-15,1,937.5,937.5,0,0
1.0951e-15,4.1678e-15,1,940,940,0,0
1.1249e-15,4.2301e-15,1,942.5,942.5,0,0
1.1451e-15,4.2718e-15,1,945,945,0,0
1.176e-15,4.3346e-15,1,947.5,947.5,0,0
1.1969e-15,4.3766e-15,1,950,950,0,0
1.2289e-15,4.4399e-15,1,952.5,952.5,0,0
1.2506e-15,4.4822e-15,1,955,955,0,0
1.2836e-15,4.5459e-15,1,957.5,957.5,0,0
1.3061e-15,4.5885e-15,1,960,960,0,0
1.3403e-15,4.6526e-15,1,962.5,962.5,0,0
1.3635e-15,4.6955e-15,1,965,965,0,0
1.3989e-15,4.7599e-15,1,967.5,967.5,0,0
1.4229e-15,4.803e-15,1,970,970,0,0
1.4595e-15,4.8677e-15,1,972.5,972.5,0,0
1.4843e-15,4.911e-15,1,975,975,0,0
1.5221e-15,4.976e-15,1,977.5,977.5,0,0
1.5477e-15,5.0194e-15,1,980,980,0,0
1.5868e-15,5.0847e-15,1,982.5,982.5,0,0
1.6132e-15,5.1282e-15,1,985,985,0,0
1.6535e-15,5.1936e-15,1,987.5,987.5,0,0
1.6808e-15,5.2373e-15,1,990,990,0,0
1.7224e-15,5.3028e-15,1,992.5,992.5,0,0
1.7505e-15,5.3465e-15,1,995,995,0,0
1.7934e-15,5.4121e-15,1,997.5,997.5,0,0
1.8224e-15,5.4558e-15,1,1000,1000,0,0
1.8666e-15,5.5214e-15,1,1002.5,1002.5,0,0
1.8965e-15,5.5651e-15,1,1005,1005,0,0
1.942e-15,5.6307e-15,1,1007.5,1007.5,0,0
1.9727e-15,5.6744e-15,1,1010,1010,0,0
2.0196e-15,5.7398e-15,1,1012.5,1012.5,0,0
2.0513e-15,5.7834e-15,1,1015,1015,0,0
2.0995e-15,5.8488e-15,1,1017.5,1017.5,0,0
2.1321e-15,5.8922e-15,1,1020,1020,0,0
2.1817e-15,5.9574e-15,1,1022.5,1022.5,0,0
2.2152e-15,6.0007e-15,1,1025,1025,0,0
2.2662e-15,6.0656e-15,1,1027.5,1027.5,0,0
2.3006e-15,6.1087e-15,1,1030,1030,0,0
2.353e-15,6.1733e-15,1,1032.5,1032.5,0,0
2.3884e-15,6.2162e-15,1,1035,1035,0,0
2.4422e-15,6.2804e-15,1,1037.5,1037.5,0,0
2.4785e-15,6.323e-15,1,1040,1040,0,0
2.5337e-15,6.3868e-15,1,1042.5,1042.5,0,0
2.571e-15,6.4291e-15,1,1045,1045,0,0
2.6277e-15,6.4924e-15,1,1047.5,1047.5,0,0
2.6659e-15,6.5344e-15,1,1050,1050,0,0
2.724e-15,6.5971e-15,1,1052.5,1052.5,0,0
2.7632e-15,6.6387e-15,1,1055,1055,0,0
2.8227e-15,6.7008e-15,1,1057.5,1057.5,0,0
2.8629e-15,6.742e-15,1,1060,1060,0,0
2.9238e-15,6.8034e-15,1,1062.5,1062.5,0,0
2.965e-15,6.8442e-15,1,1065,1065,0,0
3.0274e-15,6.9049e-15,1,1067.5,1067.5,0,0
3.0695e-15,6.9451e-15,1,1070,1070,0,0
3.1333e-15,7.005e-15,1,1072.5,1072.5,0,0
3.1764e-15,7.0447e-15,1,1075,1075,0,0
3.2417e-15,7.1038e-15,1,1077.5,1077.5,0,0
3.2857e-15,7.1429e-15,1,1080,1080,0,0
3.3525e-15,7.2011e-15,1,1082.5,1082.5,0,0
3.3974e-15,7.2395e-15,1,1085,1085,0,0
3.4656e-15,7.2968e-15,1,1087.5,1087.5,0,0
3.5116e-15,7.3346e-15,1,1090,1090,0,0
3.5812e-15,7.3907e-15,1,1092.5,1092.5,0,0
3.6281e-15,7.4279e-15,1,1095,1095,0,0
3.6991e-15,7.483e-15,1,1097.5,1097.5,0,0
3.747e-15,7.5193e-15,1,1100,1100,0,0
3.8194e-15,7.5733e-15,1,1102.5,1102.5,0,0
3.8682e-15,7.6089e-15,1,1105,1105,0,0
3.942e-15,7.6617e-15,1,1107.5,1107.5,0,0
3.9917e-15,7.6964e-15,1,1110,1110,0,0
4.067e-15,7.748e-15,1,1112.5,1112.5,0,0
4.1176e-15,7.7819e-15,1,1115,1115,0,0
4.1942e-15,7.8321e-15,1,1117.5,1117.5,0,0
4.2457e-15,7.8651e-15,1,1120,1120,0,0
4.3236e-15,7.914e-15,1,1122.5,1122.5,0,0
4.376e-15,7.9461e-15,1,1125,1125,0,0
4.4553e-15,7.9935e-15,1,1127.5,1127.5,0,0
4.5086e-15,8.0246e-15,1,1130,1130,0,0
4.5892e-15,8.0706e-15,1,1132.5,1132.5,0,0
4.6433e-15,8.1008e-15,1,1135,1135,0,0
4.7251e-15,8.1452e-15,1,1137.5,1137.5,0,0
4.7801e-15,8.1743e-15,1,1140,1140,0,0
4.8632e-15,8.2172e-15,1,1142.5,1142.5,0,0
4.919e-15,8.2452e-15,1,1145,1145,0,0
5.0033e-15,8.2865e-15,1,1147.5,1147.5,0,0
5.0599e-15,8.3135e-15,1,1150,1150,0,0
5.1454e-15,8.3531e-15,1,1152.5,1152.5,0,0
5.2027e-15,8.3789e-15,1,1155,1155,0,0
5.2893e-15,8.4168e-15,1,1157.5,1157.5,0,0
5.3475e-15,8.4415e-15,1,1160,1160,0,0
5.4352e-15,8.4776e-15,1,1162.5,1162.5,0,0
5.494e-15,8.5011e-15,1,1165,1165,0,0
5.5828e-15,8.5355e-15,1,1167.5,1167.5,0,0
5.6424e-15,8.5577e-15,1,1170,1170,0,0
5.7322e-15,8.5903e-15,1,1172.5,1172.5,0,0
5.7924e-15,8.6113e-15,1,1175,1175,0,0
5.8832e-15,8.642e-15,1,1177.5,1177.5,0,0
5.944e-15,8.6618e-15,1,1180,1180,0,0
6.0357e-15,8.6905e-15,1,1182.5,1182.5,0,0
6.0972e-15,8.709e-15,1,1185,1185,0,0
6.1898e-15,8.7358e-15,1,1187.5,1187.5,0,0
6.2518e-15,8.753e-15,1,1190,1190,0,0
6.3452e-15,8.7778e-15,1,1192.5,1192.5,0,0
6.4077e-15,8.7937e-15,1,1195,1195,0,0
6.5019e-15,8.8165e-15,1,1197.5,1197.5,0,0
6.5649e-15,8.8311e-15,1,1200,1200,0,0
6.6598e-15,8.8519e-15,1,1202.5,1202.5,0,0
6.7233e-15,8.8651e-15,1,1205,1205,0,0
6.8189e-15,8.8838e-15,1,1207.5,1207.5,0,0
6.8828e-15,8.8956e-15,1,1210,1210,0,0
6.9789e-15,8.9123e-15,1,1212.5,1212.5,0,0
7.0432e-15,8.9227e-15,1,1215,1215,0,0
7.1399e-15,8.9373e-15,1,1217.5,1217.5,0,0
7.2045e-15,8.9463e-15,1,1220,1220,0,0
7.3016e-15,8.9587e-15,1,1222.5,1222.5,0,0
7.3665e-15,8.9663e-15,1,1225,1225,0,0
7.4681e-15,8.9771e-15,1,1227.5,1227.5,0,0
7.5414e-15,8.9839e-15,1,1230,1230,0,0
